t,com_x,com_y,com_z,vel_x,vel_y,speed,cp_x,cp_y,cp_margin,roll,pitch,yaw,tilt,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,left_contact,right_contact,state
0.125,-0.003944210250723823,0.0013080625376736144,0.23254604115324845,0.05370545305909478,-0.012460525819423172,0.05513202691702115,0.0043245110887380695,-0.0006104133316316564,0.03459899425046518,-0.0002456741852466961,0.0006738478956830597,0.0013898617445455524,0.0006738478956830597,-0.011168044115678843,0.03649827028295807,0.03032086597602257,-0.011065731116812007,-0.03400209525029241,0.030340650694526752,1,1,STAND
0.13,-0.0036879829218481185,0.001244760291186618,0.2327310498563255,0.05320250400672768,-0.012509499106662996,0.05465339880085663,0.004506559988202938,-0.0006820217114016907,0.03457037237235982,-0.00021602950955432583,0.0011412481381253415,0.0012034773256402306,0.0011412481381253415,-0.011000415872705824,0.036441952977308595,0.030512906676199505,-0.010914000604213832,-0.03405796775486344,0.03052839896622546,0,0,STAND
0.135,-0.003431794236117759,0.0011814731972188918,0.23267104181302783,0.05317149184280484,-0.012505626194416308,0.0546223235619278,0.004756916105001032,-0.0007444639354673764,0.03447637911649194,-0.00018591295689199516,0.001607767477122246,0.001008336123168455,0.001607767477122246,-0.010831631446158889,0.0363861001934721,0.030459017291173632,-0.010759105351148851,-0.034113854733969766,0.030472313894205474,0,0,STAND
0.14,-0.0032272948425971885,0.0011169193078162517,0.23255812690784503,0.031244331685433644,-0.010066283604884776,0.03282587893847421,0.0015833411500344348,-0.0004329690594318959,0.03771337498528265,-0.00014091123219545307,0.002314667764857958,0.0011434473639539283,0.002314667764857958,-0.010772599531316727,0.03632234013187845,0.03034949884726787,-0.010694707959809813,-0.03417379777289004,0.030359563848902413,1,1,STAND
0.145,-0.0030800050982498746,0.0010668733242616543,0.2326615377363789,0.0306674450497427,-0.011427104781419417,0.03272721970416257,0.001642858351361515,-0.0006929294705100644,0.03774751873489689,-4.464028793028429e-05,0.0026248440913340682,0.0015541988580398066,0.0026248440913340682,-0.01070504699432949,0.03629503596722044,0.030460804503740932,-0.01059819428638567,-0.03420475836082816,0.03046455860727104,0,0,STAND
0.15,-0.002954654551086312,0.0010206179756253847,0.23262899441542637,0.016955628897188723,-0.008023957079542452,0.0187583911493902,-0.0003436278039627514,-0.00021500511329056084,0.0397932771612046,-6.13388645723214e-05,0.002976572250783983,0.0016872072949032904,0.002976572250783983,-0.010658248859497885,0.03625244539162158,0.030433985302422722,-0.0105364072194562,-0.034248691954398607,0.03043209090076071,1,1,STAND
0.155,-0.0029116735834242968,0.0009731226885880955,0.23280029273699665,0.007057862827124134,-0.012883546651831473,0.014690105582208,-0.0018244209437343303,-0.0010115673583677056,0.04124283908869438,-0.000427928009517396,0.0033432446538523724,0.001616334120230244,0.0033432446538523724,-0.010687323909721755,0.0361441783081712,0.03059386264557483,-0.010569214982762379,-0.03435924863370038,0.03061797651513848,0,0,STAND
0.16,-0.002894604391140232,0.0009178328263585751,0.2328835653007415,0.004566481119440507,-0.009824756689373437,0.010834140197523509,-0.0021910193728322505,-0.0005959261128246032,0.04156326090427355,-0.0006842298719304122,0.00367899265233117,0.0018506166425553666,0.00367899265233117,-0.0107422516374788,0.036022683865929515,0.030669843556891577,-0.01061326629176551,-0.03447915506180253,0.030716219555078375,0,0,STAND
0.165,-0.0028817928509094802,0.000869450667032835,0.2327523036577937,0.003993512411672343,-0.010582294899534536,0.011310751819525336,-0.0022666619717067625,-0.0007605671454840329,-0.010706113961793362,-0.0007660508687652611,0.00397634375032822,0.0022177170180791832,0.00397634375032822,-0.01080553032841542,0.03594554681630933,0.030537922948183388,-0.010651464445494557,-0.034554348505380084,0.0305926234982329,1,0,ANKLE_RECOVER
0.17,-0.002894910846682781,0.0008082892433919975,0.23259881103690386,-0.009617116881984486,-0.014873825322965687,0.017712131911767324,-0.00437577130159064,-0.0014820083587145023,0.04367372907452923,-0.000627298024604585,0.004068627613779529,0.002407904467957494,0.004068627613779529,-0.010848964533913576,0.03591080234096063,0.030387790471718648,-0.010685439341255806,-0.034589308609809806,0.03043442686892743,1,1,STAND
0.175,-0.0029378395189488026,0.0007392827441948847,0.2325112254854406,-0.012273320354578727,-0.016088484706324513,0.020235457313136123,-0.004827350973761858,-0.0017375837650251671,-0.011588381213611417,-0.0005611043178828031,0.003813278154496672,0.0027980122500204934,0.003813278154496672,-0.010854012260743978,0.03585079744858625,0.03030247228664905,-0.010662101393175485,-0.0346489497733853,0.030343463409409258,1,0,ANKLE_RECOVER
0.18,-0.00304023305783288,0.0006516473847043988,0.23249207021457277,-0.03190175246612567,-0.02019259494490211,0.03775530030365063,-0.007951393356019921,-0.0024569301367366745,0.04722280438549036,-0.00035028421278642105,0.003587634872605636,0.0030151139338268824,0.003587634872605636,-0.010920352775201342,0.03581067996136271,0.03028500045911156,-0.010709744317537039,-0.03469505550706875,0.030313484379225125,1,1,STAND
0.185,-0.0031945577490684013,0.0005433862470296872,0.23252814250903736,-0.031915665161625716,-0.021314536365733237,0.038378628729999906,-0.008108241003572176,-0.0027381646743574167,0.04727223431813966,-0.00035788764218955884,0.0033291706559273105,0.0027836858608172384,0.0033291706559273105,-0.011016717390438815,0.03569998884973002,0.03032308611479427,-0.010818803397953429,-0.034799874209324795,0.030348280752330314,0,0,STAND
