t,kind,detail,fx,fy,com_x,com_y
1.791,state,ANKLE_RECOVER,,,,
1.7915,state,STAND,,,,
1.8035,state,ANKLE_RECOVER,,,,
1.804,state,STAND,,,,
1.8235,state,ANKLE_RECOVER,,,,
1.824,state,STAND,,,,
1.825,state,ANKLE_RECOVER,,,,
1.8255,state,STAND,,,,
1.858,state,ANKLE_RECOVER,,,,
1.859,state,STAND,,,,
1.8635,state,ANKLE_RECOVER,,,,
1.864,state,STAND,,,,
1.927,state,ANKLE_RECOVER,,,,
1.9275,state,STAND,,,,
1.934,state,ANKLE_RECOVER,,,,
1.9345,state,STAND,,,,
1.9475,state,ANKLE_RECOVER,,,,
1.948,state,STAND,,,,
1.959,state,ANKLE_RECOVER,,,,
1.9595,state,STAND,,,,
1.9845,state,ANKLE_RECOVER,,,,
1.9855,state,STAND,,,,
1.99,state,ANKLE_RECOVER,,,,
1.9905,state,STAND,,,,
1.9915,state,ANKLE_RECOVER,,,,
1.9925,state,STAND,,,,
1.994,state,ANKLE_RECOVER,,,,
1.996,state,STAND,,,,
1.998,state,ANKLE_RECOVER,,,,
1.9985,state,STAND,,,,
2.0005,state,ANKLE_RECOVER,,,,
2.001,state,STAND,,,,
2.0105,state,ANKLE_RECOVER,,,,
2.011,state,STAND,,,,
2.026,state,ANKLE_RECOVER,,,,
2.0265,state,STAND,,,,
2.027,state,ANKLE_RECOVER,,,,
2.0275,state,STAND,,,,
2.0475,state,ANKLE_RECOVER,,,,
2.048,state,STAND,,,,
2.0545,state,ANKLE_RECOVER,,,,
2.055,state,STAND,,,,
2.0625,state,ANKLE_RECOVER,,,,
2.063,state,STAND,,,,
2.0645,state,ANKLE_RECOVER,,,,
2.065,state,STAND,,,,
2.067,state,ANKLE_RECOVER,,,,
2.0675,state,STAND,,,,
2.0765,state,ANKLE_RECOVER,,,,
2.0775,state,STAND,,,,
2.081,state,ANKLE_RECOVER,,,,
2.0815,state,STAND,,,,
2.099,state,ANKLE_RECOVER,,,,
2.0995,state,STAND,,,,
2.1065,state,ANKLE_RECOVER,,,,
2.1075,state,STAND,,,,
2.116,state,ANKLE_RECOVER,,,,
2.1165,state,STAND,,,,
2.131,state,ANKLE_RECOVER,,,,
2.1315,state,STAND,,,,
2.1355,state,ANKLE_RECOVER,,,,
2.136,state,STAND,,,,
2.167,state,ANKLE_RECOVER,,,,
2.1675,state,STAND,,,,
2.169,state,ANKLE_RECOVER,,,,
2.1715,state,STAND,,,,
2.1755,state,ANKLE_RECOVER,,,,
2.176,state,STAND,,,,
2.18,state,ANKLE_RECOVER,,,,
2.1805,state,STAND,,,,
2.187,state,ANKLE_RECOVER,,,,
2.1875,state,STAND,,,,
2.188,state,ANKLE_RECOVER,,,,
2.1885,state,STAND,,,,
2.206,state,ANKLE_RECOVER,,,,
2.2065,state,STAND,,,,
2.2165,state,ANKLE_RECOVER,,,,
2.217,state,STAND,,,,
2.2275,state,ANKLE_RECOVER,,,,
2.229,state,STAND,,,,
2.23,state,ANKLE_RECOVER,,,,
2.2305,state,STAND,,,,
2.246,state,ANKLE_RECOVER,,,,
2.25,state,STAND,,,,
2.2505,state,ANKLE_RECOVER,,,,
2.252,state,STAND,,,,
2.2555,state,ANKLE_RECOVER,,,,
2.2565,state,STAND,,,,
2.2585,state,ANKLE_RECOVER,,,,
2.259,state,STAND,,,,
2.2615,state,ANKLE_RECOVER,,,,
2.262,state,STAND,,,,
2.275,state,ANKLE_RECOVER,,,,
2.2755,state,STAND,,,,
2.276,state,ANKLE_RECOVER,,,,
2.2765,state,STAND,,,,
2.2825,state,ANKLE_RECOVER,,,,
2.283,state,STAND,,,,
2.288,state,ANKLE_RECOVER,,,,
2.2885,state,STAND,,,,
2.2915,state,ANKLE_RECOVER,,,,
2.292,state,STAND,,,,
2.3115,state,ANKLE_RECOVER,,,,
2.312,state,STAND,,,,
2.313,state,ANKLE_RECOVER,,,,
2.3145,state,STAND,,,,
2.3155,state,ANKLE_RECOVER,,,,
2.316,state,STAND,,,,
2.3195,state,ANKLE_RECOVER,,,,
2.32,state,STAND,,,,
2.3385,state,ANKLE_RECOVER,,,,
2.339,state,STAND,,,,
2.387,state,ANKLE_RECOVER,,,,
2.3885,state,STAND,,,,
2.3905,state,ANKLE_RECOVER,,,,
2.3915,state,STAND,,,,
2.4005,state,ANKLE_RECOVER,,,,
2.401,state,STAND,,,,
2.405,state,ANKLE_RECOVER,,,,
2.4055,state,STAND,,,,
2.419,state,ANKLE_RECOVER,,,,
2.4195,state,STAND,,,,
2.4575,state,ANKLE_RECOVER,,,,
2.458,state,STAND,,,,
2.4625,state,ANKLE_RECOVER,,,,
2.463,state,STAND,,,,
2.4715,state,ANKLE_RECOVER,,,,
2.472,state,STAND,,,,
2.473,state,ANKLE_RECOVER,,,,
2.4735,state,STAND,,,,
2.491,state,ANKLE_RECOVER,,,,
2.4915,state,STAND,,,,
2.493,state,ANKLE_RECOVER,,,,
2.4935,state,STAND,,,,
2.494,state,ANKLE_RECOVER,,,,
2.4955,state,STAND,,,,
2.4965,state,ANKLE_RECOVER,,,,
2.498,state,STAND,,,,
2.5,push,forward 25N,25.0,0.0,0.0011889668963594006,0.005644909793957386
2.5125,state,ANKLE_RECOVER,,,,
2.684,state,STAND,,,,
2.6855,state,ANKLE_RECOVER,,,,
2.6875,state,STAND,,,,
2.7,state,ANKLE_RECOVER,,,,
2.701,state,STAND,,,,
2.7025,state,ANKLE_RECOVER,,,,
2.7035,state,STAND,,,,
2.708,state,ANKLE_RECOVER,,,,
2.7085,state,STAND,,,,
2.71,state,ANKLE_RECOVER,,,,
2.7105,state,STAND,,,,
2.727,state,ANKLE_RECOVER,,,,
2.7275,state,STAND,,,,
2.7365,state,ANKLE_RECOVER,,,,
2.7405,state,STAND,,,,
2.743,state,ANKLE_RECOVER,,,,
2.748,state,STAND,,,,
2.7505,state,ANKLE_RECOVER,,,,
2.753,state,STAND,,,,
2.754,state,ANKLE_RECOVER,,,,
2.7555,state,STAND,,,,
2.756,state,ANKLE_RECOVER,,,,
2.7565,state,STAND,,,,
2.764,state,ANKLE_RECOVER,,,,
2.765,state,STAND,,,,
2.778,state,ANKLE_RECOVER,,,,
2.7785,state,STAND,,,,
2.7795,state,ANKLE_RECOVER,,,,
2.7805,state,STAND,,,,
2.785,state,ANKLE_RECOVER,,,,
2.7855,state,STAND,,,,
2.786,state,ANKLE_RECOVER,,,,
2.7865,state,STAND,,,,
2.801,state,ANKLE_RECOVER,,,,
2.8015,state,STAND,,,,
2.8045,state,ANKLE_RECOVER,,,,
2.805,state,STAND,,,,
2.8055,state,ANKLE_RECOVER,,,,
2.806,state,STAND,,,,
2.8145,state,ANKLE_RECOVER,,,,
2.815,state,STAND,,,,
2.8165,state,ANKLE_RECOVER,,,,
2.817,state,STAND,,,,
2.8305,state,ANKLE_RECOVER,,,,
2.831,state,STAND,,,,
2.8315,state,ANKLE_RECOVER,,,,
2.833,state,STAND,,,,
2.834,state,ANKLE_RECOVER,,,,
2.8355,state,STAND,,,,
2.8365,state,ANKLE_RECOVER,,,,
2.837,state,STAND,,,,
2.838,state,ANKLE_RECOVER,,,,
2.8385,state,STAND,,,,
2.856,state,ANKLE_RECOVER,,,,
2.8565,state,STAND,,,,
2.87,state,ANKLE_RECOVER,,,,
2.8705,state,STAND,,,,
2.8745,state,ANKLE_RECOVER,,,,
2.9955,state,STAND,,,,
2.996,state,ANKLE_RECOVER,,,,
2.9965,state,STAND,,,,
2.998,state,ANKLE_RECOVER,,,,
2.9995,state,STAND,,,,
3.002,state,ANKLE_RECOVER,,,,
3.0025,state,STAND,,,,
3.007,state,ANKLE_RECOVER,,,,
3.0095,state,STAND,,,,
3.0205,state,ANKLE_RECOVER,,,,
3.0235,state,STAND,,,,
3.0245,state,ANKLE_RECOVER,,,,
3.025,state,STAND,,,,
3.0265,state,ANKLE_RECOVER,,,,
3.027,state,STAND,,,,
3.0345,state,ANKLE_RECOVER,,,,
3.0355,state,STAND,,,,
3.037,state,ANKLE_RECOVER,,,,
3.038,state,STAND,,,,
3.039,state,ANKLE_RECOVER,,,,
3.0395,state,STAND,,,,
3.044,state,ANKLE_RECOVER,,,,
3.0445,state,STAND,,,,
3.05,state,ANKLE_RECOVER,,,,
3.0505,state,STAND,,,,
3.062,state,ANKLE_RECOVER,,,,
3.0625,state,STAND,,,,
3.0725,state,ANKLE_RECOVER,,,,
3.074,state,STAND,,,,
3.0865,state,ANKLE_RECOVER,,,,
3.087,state,STAND,,,,
3.0875,state,ANKLE_RECOVER,,,,
3.089,state,STAND,,,,
3.0895,state,ANKLE_RECOVER,,,,
3.0905,state,STAND,,,,
3.1005,state,ANKLE_RECOVER,,,,
3.101,state,STAND,,,,
3.1025,state,ANKLE_RECOVER,,,,
3.103,state,STAND,,,,
3.111,state,ANKLE_RECOVER,,,,
3.1115,state,STAND,,,,
3.112,state,ANKLE_RECOVER,,,,
3.1125,state,STAND,,,,
3.1145,state,ANKLE_RECOVER,,,,
3.12,state,STAND,,,,
3.124,state,ANKLE_RECOVER,,,,
3.1245,state,STAND,,,,
3.1295,state,ANKLE_RECOVER,,,,
3.1305,state,STAND,,,,
3.1475,state,ANKLE_RECOVER,,,,
3.149,state,STAND,,,,
3.152,state,ANKLE_RECOVER,,,,
3.153,state,STAND,,,,
3.157,state,ANKLE_RECOVER,,,,
3.158,state,STAND,,,,
3.163,state,ANKLE_RECOVER,,,,
3.1635,state,STAND,,,,
3.1665,state,ANKLE_RECOVER,,,,
3.167,state,STAND,,,,
3.17,state,ANKLE_RECOVER,,,,
3.1715,state,STAND,,,,
3.184,state,ANKLE_RECOVER,,,,
3.1845,state,STAND,,,,
3.186,state,ANKLE_RECOVER,,,,
3.1865,state,STAND,,,,
3.189,state,ANKLE_RECOVER,,,,
3.1895,state,STAND,,,,
3.225,state,ANKLE_RECOVER,,,,
3.226,state,STAND,,,,
3.2305,state,ANKLE_RECOVER,,,,
3.2315,state,STAND,,,,
3.235,state,ANKLE_RECOVER,,,,
3.236,state,STAND,,,,
3.241,state,ANKLE_RECOVER,,,,
3.2415,state,STAND,,,,
3.2495,state,ANKLE_RECOVER,,,,
3.2505,state,STAND,,,,
3.252,state,ANKLE_RECOVER,,,,
3.2525,state,STAND,,,,
3.288,state,ANKLE_RECOVER,,,,
3.2895,state,STAND,,,,
3.2905,state,ANKLE_RECOVER,,,,
3.291,state,STAND,,,,
3.307,state,ANKLE_RECOVER,,,,
3.3075,state,STAND,,,,
3.321,state,ANKLE_RECOVER,,,,
3.3215,state,STAND,,,,
3.342,state,ANKLE_RECOVER,,,,
3.3425,state,STAND,,,,
3.344,state,ANKLE_RECOVER,,,,
3.3445,state,STAND,,,,
3.347,state,ANKLE_RECOVER,,,,
3.3475,state,STAND,,,,
3.352,state,ANKLE_RECOVER,,,,
3.3535,state,STAND,,,,
3.3595,state,ANKLE_RECOVER,,,,
3.3605,state,STAND,,,,
3.3655,state,ANKLE_RECOVER,,,,
3.366,state,STAND,,,,
3.3725,state,ANKLE_RECOVER,,,,
3.373,state,STAND,,,,
3.374,state,ANKLE_RECOVER,,,,
3.3745,state,STAND,,,,
3.384,state,ANKLE_RECOVER,,,,
3.3845,state,STAND,,,,
3.411,state,ANKLE_RECOVER,,,,
3.4115,state,STAND,,,,
3.433,state,ANKLE_RECOVER,,,,
3.4335,state,STAND,,,,
3.441,state,ANKLE_RECOVER,,,,
3.4415,state,STAND,,,,
3.4485,state,ANKLE_RECOVER,,,,
3.449,state,STAND,,,,
3.4585,state,ANKLE_RECOVER,,,,
3.459,state,STAND,,,,
3.472,state,ANKLE_RECOVER,,,,
3.4725,state,STAND,,,,
3.474,state,ANKLE_RECOVER,,,,
3.4745,state,STAND,,,,
3.476,state,ANKLE_RECOVER,,,,
3.4765,state,STAND,,,,
3.5455,state,ANKLE_RECOVER,,,,
3.546,state,STAND,,,,
3.5495,state,ANKLE_RECOVER,,,,
3.55,state,STAND,,,,
3.555,state,ANKLE_RECOVER,,,,
3.5555,state,STAND,,,,
3.591,state,ANKLE_RECOVER,,,,
3.5915,state,STAND,,,,
3.5945,state,ANKLE_RECOVER,,,,
3.595,state,STAND,,,,
3.601,state,ANKLE_RECOVER,,,,
3.6015,state,STAND,,,,
3.6095,state,ANKLE_RECOVER,,,,
3.61,state,STAND,,,,
3.616,state,ANKLE_RECOVER,,,,
3.617,state,STAND,,,,
3.6865,state,ANKLE_RECOVER,,,,
3.687,state,STAND,,,,
3.695,state,ANKLE_RECOVER,,,,
3.6955,state,STAND,,,,
3.7795,state,ANKLE_RECOVER,,,,
3.78,state,STAND,,,,
3.7805,state,ANKLE_RECOVER,,,,
3.781,state,STAND,,,,
3.8255,state,ANKLE_RECOVER,,,,
3.826,state,STAND,,,,
3.836,state,ANKLE_RECOVER,,,,
3.8365,state,STAND,,,,
3.8435,state,ANKLE_RECOVER,,,,
3.844,state,STAND,,,,
3.877,state,ANKLE_RECOVER,,,,
3.879,state,STAND,,,,
3.884,state,ANKLE_RECOVER,,,,
3.8845,state,STAND,,,,
3.8875,state,ANKLE_RECOVER,,,,
3.8885,state,STAND,,,,
3.8965,state,ANKLE_RECOVER,,,,
3.897,state,STAND,,,,
3.934,state,ANKLE_RECOVER,,,,
3.9345,state,STAND,,,,
3.941,state,ANKLE_RECOVER,,,,
3.9415,state,STAND,,,,
3.9955,state,ANKLE_RECOVER,,,,
3.996,state,STAND,,,,
4.0,state,ANKLE_RECOVER,,,,
4.0005,state,STAND,,,,
4.002,state,ANKLE_RECOVER,,,,
4.0025,state,STAND,,,,
4.0705,state,ANKLE_RECOVER,,,,
4.071,state,STAND,,,,
4.16,state,ANKLE_RECOVER,,,,
4.1615,state,STAND,,,,
4.17,state,ANKLE_RECOVER,,,,
4.1725,state,STAND,,,,
4.1765,state,ANKLE_RECOVER,,,,
4.1865,state,STAND,,,,
4.1885,state,ANKLE_RECOVER,,,,
4.189,state,STAND,,,,
4.197,state,ANKLE_RECOVER,,,,
4.198,state,STAND,,,,
4.201,state,ANKLE_RECOVER,,,,
4.2015,state,STAND,,,,
4.214,state,ANKLE_RECOVER,,,,
4.2145,state,STAND,,,,
4.2185,state,ANKLE_RECOVER,,,,
4.219,state,STAND,,,,
4.2225,state,ANKLE_RECOVER,,,,
4.2235,state,STAND,,,,
4.224,state,ANKLE_RECOVER,,,,
4.2245,state,STAND,,,,
4.2285,state,ANKLE_RECOVER,,,,
4.2295,state,STAND,,,,
4.233,state,ANKLE_RECOVER,,,,
4.2335,state,STAND,,,,
4.2425,state,ANKLE_RECOVER,,,,
4.2435,state,STAND,,,,
4.2555,state,ANKLE_RECOVER,,,,
4.257,state,STAND,,,,
4.28,state,ANKLE_RECOVER,,,,
4.281,state,STAND,,,,
4.289,state,ANKLE_RECOVER,,,,
4.2895,state,STAND,,,,
4.2935,state,ANKLE_RECOVER,,,,
4.294,state,STAND,,,,
4.2945,state,ANKLE_RECOVER,,,,
4.296,state,STAND,,,,
4.3165,state,ANKLE_RECOVER,,,,
4.3175,state,STAND,,,,
4.324,state,ANKLE_RECOVER,,,,
4.3285,state,STAND,,,,
4.331,state,ANKLE_RECOVER,,,,
4.332,state,STAND,,,,
4.3415,state,ANKLE_RECOVER,,,,
4.342,state,STAND,,,,
4.3425,state,ANKLE_RECOVER,,,,
4.343,state,STAND,,,,
4.3435,state,ANKLE_RECOVER,,,,
4.344,state,STAND,,,,
4.3475,state,ANKLE_RECOVER,,,,
4.348,state,STAND,,,,
4.358,state,ANKLE_RECOVER,,,,
4.3585,state,STAND,,,,
4.366,state,ANKLE_RECOVER,,,,
4.3665,state,STAND,,,,
4.382,state,ANKLE_RECOVER,,,,
4.383,state,STAND,,,,
4.384,state,ANKLE_RECOVER,,,,
4.3845,state,STAND,,,,
4.392,state,ANKLE_RECOVER,,,,
4.3925,state,STAND,,,,
4.4115,state,ANKLE_RECOVER,,,,
4.4125,state,STAND,,,,
4.415,state,ANKLE_RECOVER,,,,
4.416,state,STAND,,,,
4.4185,state,ANKLE_RECOVER,,,,
4.419,state,STAND,,,,
4.437,state,ANKLE_RECOVER,,,,
4.4375,state,STAND,,,,
4.4395,state,ANKLE_RECOVER,,,,
4.441,state,STAND,,,,
