t,com_x,com_y,com_z,vel_x,vel_y,speed,cp_x,cp_y,cp_margin,roll,pitch,yaw,tilt,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,left_contact,right_contact,state
13.29,1.131909554925429,-0.008721832559999098,0.23167576714021043,0.10591743153021113,0.05635138327509496,0.11997491695756082,1.1481865128889863,-6.198230206114208e-05,0.03319500701766777,-0.00010987594480512768,2.4147411814073226e-07,-0.18437433311998747,0.00010987594480512768,1.1592050632514874,0.007133024715606624,0.029992327786922957,1.0578112768092354,-0.04567411196445794,0.029992417112907344,1,1,WALK
13.295,1.132314857419446,-0.00850787731292462,0.23166152773367174,0.10644171970162687,0.05532404169629239,0.11996078226925999,1.14867188315003,-6.165990683332928e-06,0.0331386810186899,-7.553809502394491e-05,1.0457445875141086e-05,-0.1843679159213264,7.553809502394491e-05,1.1592053964387532,0.007132515028006564,0.02999197778754803,1.0578113202958497,-0.04567529187782683,0.029991012950334586,1,1,WALK
13.3,1.1327211007382345,-0.008293786277324714,0.23164566681881293,0.10651616496982125,0.05640370724277976,0.12052830203154519,1.149089006211312,0.00037354181078768853,0.03275783709600487,-4.8573351174872484e-05,2.2123945454770874e-05,-0.1843682353365446,4.8573351174872484e-05,1.1592058009100494,0.0071313789067925645,0.02999159622681158,1.0578114545200548,-0.045676313755962435,0.029990057761365527,1,1,WALK
13.305,1.1331255187732303,-0.008074437351038908,0.23162847179413806,0.1055248459021038,0.0573385606945852,0.12009664293888228,1.1493404904295386,0.0007362188364027963,0.032394614451596755,-4.374335453170595e-05,1.9839057926639848e-05,-0.1843632364305089,4.374335453170595e-05,1.159205875868374,0.007130833287999558,0.02999126733830429,1.05781124171246,-0.045676969919928284,0.02999014967141815,1,1,WALK
13.31,1.1335277126783345,-0.00785156113627332,0.2316094229166296,0.1058724895783286,0.05745092124178971,0.12045576948010261,1.1497954343791854,0.0009759973913599958,0.03215475268330706,-5.232607758466158e-05,7.871851330747986e-06,-0.184355369848158,5.232607758466158e-05,1.1592057559820859,0.007130750074667061,0.029990610365500284,1.057810654927341,-0.045677586812490206,0.029990285433952185,1,1,WALK
13.315,1.133930450917464,-0.007633782065608913,0.2315887690454853,0.10597372494702842,0.0557226618001998,0.11973072044069508,1.1502130017779326,0.0009278408772099411,0.032202448355532,-3.4169289080552686e-05,2.1627658161418682e-06,-0.18434565658744434,3.4169289080552686e-05,1.1592058738660067,0.0071302892327419435,0.02999018726932126,1.057809911144454,-0.04567849888442023,0.029990154238041175,1,1,WALK
13.32,1.1343345794093156,-0.007420313242464265,0.2315663160795716,0.10613347755580502,0.05571280502797311,0.11986755900648646,1.1506408852668604,0.0011393802669678703,0.031990932286579496,1.968035479473539e-06,5.259399847077954e-06,-0.18433234901190704,5.259399847077954e-06,1.1592064049763822,0.007130312553547369,0.029989668438118677,1.0578094744683595,-0.045679163810256676,0.029989773219146268,1,1,WALK
13.325,1.134726439040385,-0.00722207425478663,0.2315633244113356,0.10321642687748184,0.04682680813848752,0.11334187548207095,1.150584467937928,-2.7668295343018928e-05,0.03316025838120372,-0.00010701148339659639,-3.047535404907029e-05,-0.18432369042735994,0.00010701148339659639,1.159206666980012,0.007132590085860708,0.029991917088911232,1.0578110360669495,-0.04567827022707299,0.029993766937730246,1,1,WALK
13.33,1.135124799986819,-0.007052102047836293,0.23155755691621177,0.10434719340823184,0.040933968794623195,0.11208892261706385,1.1511563586374043,-0.0007631420854454177,0.03389563659943913,-0.00010181068220389338,-1.0149380040436724e-06,-0.1843275137924104,0.00010181068220389338,1.159206500190623,0.007132494513993714,0.029991398694204335,1.0578117027927998,-0.04567861933246352,0.029993544466263525,1,1,WALK
13.335,1.1355203134031122,-0.006899126416048338,0.23155047279298271,0.10502130982467023,0.04136209327711987,0.11287292978192132,1.1516551942608777,-0.000544488027246365,0.033674837269978136,-3.317957210819357e-05,2.7139260398563676e-05,-0.18432704397356114,3.317957210819357e-05,1.1592058029231038,0.007130349242731771,0.02999222495973204,1.0578118541666328,-0.04568127445908829,0.02999014908694407,1,1,WALK
13.34,1.1359221489045184,-0.006731391053333316,0.23154318490969228,0.10429806895523398,0.0451994059620245,0.11367089991334914,1.1519456629499314,0.00021268109998411316,0.03291701871017486,-3.95035830733163e-05,6.138888521811112e-05,-0.1843329454040614,6.138888521811112e-05,1.1592069517985075,0.007129699810158976,0.029992898644523744,1.0578134021141317,-0.04568153071854323,0.02999261389237759,1,1,WALK
13.345,1.1363108829793878,-0.006554196506503202,0.23153329923837102,0.10125473135595651,0.04637802570087268,0.11137074072608896,1.1518665111014046,0.0005707971720630822,0.032559800865687875,-6.873248724781187e-05,3.062906299883206e-05,-0.18432897170320886,6.873248724781187e-05,1.1592063834928699,0.007130598037750961,0.029992859949706213,1.057812811777057,-0.04568124921935228,0.029991844720202637,1,1,WALK
13.35,1.1366979407474789,-0.006371694931841079,0.2315224556473996,0.10410702832144406,0.04654958122497182,0.11404006689818366,1.152691388883668,0.0007794871265326435,0.03235217335732295,-0.0001230421316126854,-3.929932542968517e-07,-0.18433617338427344,0.0001230421316126854,1.1592052680438372,0.007131660483855589,0.029993115849191926,1.0578116952766006,-0.0456796433962266,0.029992161368872602,1,1,WALK
13.355,1.1370919375759376,-0.006196154265356531,0.23150997600095266,0.10289478762770687,0.04338031840191153,0.11166552442720236,1.152898729136468,0.00046796999805578336,0.032663234976583876,-0.00014757308601437644,-2.3920110683360223e-06,-0.18434455718339315,0.00014757308601437644,1.1592048331473588,0.00713120497463966,0.029992850251524927,1.0578109707878562,-0.04567904516149287,0.029993953263003997,1,1,WALK
13.36,1.1374850407014787,-0.006034831520735174,0.23149509081471617,0.10399091600943686,0.041018334203889846,0.11178825677746188,1.1534597069293673,0.00026623998893073215,0.032864491286310166,-0.00010684238356265355,5.345277111486775e-06,-0.18433638113072442,0.00010684238356265355,1.1592051182873666,0.007130731275240897,0.029992330152391056,1.0578109274288297,-0.04568023040263065,0.029992265477675112,1,1,WALK
13.365,1.137879398960894,-0.0058797031805220374,0.23147821361352178,0.10406973137684063,0.04133912178034452,0.11197960518959656,1.1538655897182333,0.00047041493526785855,0.03265842451485709,-4.8405035602899374e-05,2.005775633656237e-05,-0.18432943302425633,4.8405035602899374e-05,1.1592053510082279,0.00712883945012495,0.029991387930205574,1.0578109168265282,-0.045682627123127324,0.02998973800876667,1,1,WALK
13.37,1.1382742500943617,-0.005717264179083883,0.23146103701806356,0.10288771342027223,0.04356542500423666,0.11173105131811763,1.1540782842333572,0.0009745889213384155,0.032153107907273173,-2.6512058075596703e-05,2.773666968645534e-05,-0.1843273063106467,2.773666968645534e-05,1.1592056188062254,0.007127696828611591,0.02999109327568518,1.0578108082880053,-0.045683463867044236,0.029990152441526058,1,1,WALK
13.375,1.138663401368825,-0.005546441080179158,0.23144161319925166,0.10262745244865397,0.04412138946957017,0.11170985187003979,1.1544267967445823,0.001230526389461333,0.031896414661403104,-3.725979638040112e-05,6.18272951102092e-06,-0.18431606161455594,3.725979638040112e-05,1.1592050898023585,0.007126941050864439,0.0299897891740855,1.057809927717037,-0.04568482611980507,0.029989998899793743,1,1,WALK
13.38,1.1390539280831034,-0.005381598033458974,0.2314213473696126,0.10349355892235747,0.0415641602318017,0.11152800614280864,1.1549496598946127,0.00100230402667777,0.032123488304190095,-1.5824305459938894e-05,1.831535587345403e-08,-0.18431668801531653,1.5824305459938894e-05,1.1592047603583664,0.00712579233086786,0.029989145315512097,1.0578084625287942,-0.04568540824658816,0.029990150060097018,1,1,WALK
13.385,1.13949547304162,-0.005277288195582681,0.2314921015577217,0.08557364419663088,0.026495550236169646,0.08958159835261352,1.1526408671816768,-0.001207174621690542,0.017688740915797446,-3.5054299602235626e-05,0.0012151312137723492,-0.1879529586773042,0.0012151312137723492,1.1590972965658533,0.007104084462512011,0.029990275117185217,1.0584686530904412,-0.045681223947626484,0.03096901164947396,1,0,WALK
13.39,1.140035494374989,-0.005208594767152043,0.2316662268105667,0.09430300407083388,0.029377682939155818,0.0987729964699729,1.154527296205023,-0.0006940454845010538,0.033811371874872535,0.00030313316546557806,-2.803920247561176e-05,-0.1906434103114678,0.00030313316546557806,1.1591235498737156,0.0071173263903714845,0.030016298763104923,1.0596669437728403,-0.04570908304163252,0.032342796521222864,0,0,WALK
13.395,1.1405703837941443,-0.005151460162226664,0.23172511680589877,0.08834755752146588,0.028840336458050515,0.09293576236854292,1.154148721274866,-0.0007189231179532771,0.018194323060640942,0.00034391816504371694,-0.0007833403034988171,-0.19212798410895213,0.0007833403034988171,1.1592195027769154,0.007086753821405781,0.029997197531729525,1.0608069037411207,-0.04586365704033262,0.03365264528461827,1,0,WALK
13.4,1.141077681169053,-0.0050839116267433915,0.23184472147310842,0.09075644656952327,0.02940187094871408,0.09540022331845753,1.1550298456019878,-0.0005639050198502698,0.0183484403443902,0.00035895713740902077,-0.0011637094976826262,-0.19208095915790602,0.0011637094976826262,1.1592177669044892,0.007087654635759527,0.03000056616078249,1.0619188036584304,-0.04612806165985373,0.03507958667661504,1,0,WALK
13.405,1.1416112788425803,-0.005013818772560334,0.23196370965064506,0.0969221333645629,0.02963923990597562,0.10135277242454739,1.156515129288929,-0.0004561518747367172,0.01845311074326817,0.00033859665093149944,-0.0014402862542428581,-0.1919848981882817,0.0014402862542428581,1.1592169288631093,0.007090737381995111,0.029999843463004258,1.0630478558403837,-0.04638968104899732,0.03653911064433147,1,0,WALK
13.41,1.142165937597466,-0.0049392305076727165,0.23208822193737827,0.09823684403974203,0.031036922924643853,0.1030231435723007,1.157276006642665,-0.00016535922825572716,0.01874081555902984,0.00028702604313960063,-0.0015920140036288883,-0.19192449890809932,0.0015920140036288883,1.1592175962612512,0.00709382521271443,0.0299964088008213,1.0641834006028752,-0.04663651313493161,0.03803722671328341,1,0,WALK
13.415,1.1427327394672515,-0.004857853870748847,0.2322298124100914,0.10306965201509855,0.031863640085415465,0.10788255060947717,1.1585909906245562,4.467172608208555e-05,0.01894858271679191,0.0002075484694108011,-0.0016030111867113145,-0.19191044020850404,0.0016030111867113145,1.1592172721350555,0.007096089009290174,0.029994619521216417,1.0653096470108865,-0.04686211485110822,0.039587749787525474,1,0,WALK
